"","workerid","predicate","noun","class","nounclass","slide_number","response","language"
"1",0,"big","chair","size","furniture",3,0.82,"English"
"2",0,"bad","couch","quality","furniture",4,0.93,"English"
"3",0,"short","carrot","size","food",5,0.9,"English"
"4",0,"long","TV","size","furniture",6,0.92,"English"
"5",0,"rotten","apple","age","food",7,0.68,"English"
"6",0,"green","fan","color","furniture",8,0.27,"English"
"7",0,"new","banana","age","food",9,0.58,"English"
"8",0,"huge","banana","size","food",10,0.75,"English"
"9",0,"smooth","tomato","texture","food",11,0.45,"English"
"10",0,"old","tomato","age","food",12,0.56,"English"
"11",0,"red","couch","color","furniture",13,0.16,"English"
"12",0,"plastic","banana","material","food",14,0.16,"English"
"13",0,"round","couch","shape","furniture",15,0.35,"English"
"14",0,"brown","fan","color","furniture",16,0.18,"English"
"15",0,"blue","chair","color","furniture",17,0.15,"English"
"16",0,"fresh","TV","age","furniture",18,0.44,"English"
"17",0,"yellow","tomato","color","food",19,0.13,"English"
"18",0,"good","tomato","quality","food",20,0.75,"English"
"19",0,"small","TV","size","furniture",21,0.61,"English"
"20",0,"purple","desk","color","furniture",22,0.17,"English"
"21",0,"metal","carrot","material","food",23,0.22,"English"
"22",0,"soft","chair","texture","furniture",24,0.79,"English"
"23",0,"tiny","carrot","size","food",25,0.84,"English"
"24",0,"hard","cheese","texture","food",26,0.75,"English"
"25",0,"wooden","TV","material","furniture",27,0.68,"English"
"26",0,"square","chair","shape","furniture",28,0.26,"English"
"27",1,"brown","tomato","color","food",3,0.15,"English"
"28",1,"wooden","banana","material","food",4,0.03,"English"
"29",1,"square","TV","shape","furniture",5,0.21,"English"
"30",1,"soft","fan","texture","furniture",6,0.54,"English"
"31",1,"old","chair","age","furniture",7,0.74,"English"
"32",1,"fresh","chair","age","furniture",8,0.82,"English"
"33",1,"big","TV","size","furniture",9,0.92,"English"
"34",1,"purple","carrot","color","food",10,0.05,"English"
"35",1,"yellow","desk","color","furniture",11,0.03,"English"
"36",1,"long","TV","size","furniture",12,0.84,"English"
"37",1,"huge","cheese","size","food",13,0.99,"English"
"38",1,"bad","apple","quality","food",14,0.9,"English"
"39",1,"good","TV","quality","furniture",15,0.94,"English"
"40",1,"new","couch","age","furniture",16,0.7,"English"
"41",1,"metal","carrot","material","food",17,0.01,"English"
"42",1,"smooth","cheese","texture","food",18,0.53,"English"
"43",1,"short","cheese","size","food",19,0.54,"English"
"44",1,"plastic","couch","material","furniture",20,0.03,"English"
"45",1,"hard","tomato","texture","food",21,0.3,"English"
"46",1,"tiny","apple","size","food",22,0.76,"English"
"47",1,"blue","tomato","color","food",23,0.05,"English"
"48",1,"green","carrot","color","food",24,0.05,"English"
"49",1,"red","cheese","color","food",25,0.06,"English"
"50",1,"small","couch","size","furniture",26,0.63,"English"
"51",1,"rotten","fan","age","furniture",27,0.8,"English"
"52",1,"round","desk","shape","furniture",28,0.11,"English"
"53",2,"fresh","carrot","age","food",3,0.13,"English"
"54",2,"red","chair","color","furniture",4,0.06,"English"
"55",2,"new","desk","age","furniture",5,0.26,"English"
"56",2,"purple","carrot","color","food",6,0,"English"
"57",2,"plastic","fan","material","furniture",7,0,"English"
"58",2,"smooth","TV","texture","furniture",8,0.65,"English"
"59",2,"blue","tomato","color","food",9,0,"English"
"60",2,"old","banana","age","food",10,0.75,"English"
"61",2,"metal","apple","material","food",11,0.15,"English"
"62",2,"bad","carrot","quality","food",12,0.89,"English"
"63",2,"good","couch","quality","furniture",13,1,"English"
"64",2,"huge","chair","size","furniture",14,0.51,"English"
"65",2,"round","fan","shape","furniture",15,0.04,"English"
"66",2,"tiny","tomato","size","food",16,0.34,"English"
"67",2,"hard","apple","texture","food",17,0.59,"English"
"68",2,"long","chair","size","furniture",18,0.67,"English"
"69",2,"short","desk","size","furniture",19,0.71,"English"
"70",2,"yellow","banana","color","food",20,0,"English"
"71",2,"soft","couch","texture","furniture",21,0.91,"English"
"72",2,"big","apple","size","food",22,0.5,"English"
"73",2,"square","fan","shape","furniture",23,0.13,"English"
"74",2,"wooden","desk","material","furniture",24,0.05,"English"
"75",2,"brown","couch","color","furniture",25,0,"English"
"76",2,"green","cheese","color","food",26,0.08,"English"
"77",2,"rotten","banana","age","food",27,0.89,"English"
"78",2,"small","couch","size","furniture",28,0.88,"English"
"79",3,"wooden","fan","material","furniture",3,0.96,"English"
"80",3,"metal","couch","material","furniture",4,0.03,"English"
"81",3,"brown","desk","color","furniture",5,0.24,"English"
"82",3,"long","apple","size","food",6,0.74,"English"
"83",3,"tiny","tomato","size","food",7,0.79,"English"
"84",3,"red","TV","color","furniture",8,0.01,"English"
"85",3,"blue","desk","color","furniture",9,0.04,"English"
"86",3,"round","desk","shape","furniture",10,0.11,"English"
"87",3,"bad","couch","quality","furniture",11,0.96,"English"
"88",3,"small","banana","size","food",12,0.74,"English"
"89",3,"huge","chair","size","furniture",13,0.84,"English"
"90",3,"green","banana","color","food",14,0.01,"English"
"91",3,"plastic","banana","material","food",15,0,"English"
"92",3,"smooth","carrot","texture","food",16,0.66,"English"
"93",3,"purple","desk","color","furniture",17,0.02,"English"
"94",3,"square","apple","shape","food",18,0.05,"English"
"95",3,"good","banana","quality","food",19,0.94,"English"
"96",3,"new","tomato","age","food",20,0.21,"English"
"97",3,"hard","TV","texture","furniture",21,0.14,"English"
"98",3,"soft","banana","texture","food",22,0.66,"English"
"99",3,"rotten","carrot","age","food",23,0.3,"English"
"100",3,"fresh","tomato","age","food",24,0.64,"English"
"101",3,"yellow","carrot","color","food",25,0.05,"English"
"102",3,"short","chair","size","furniture",26,0.78,"English"
"103",3,"old","couch","age","furniture",27,0.77,"English"
"104",3,"big","chair","size","furniture",28,0.68,"English"
"105",4,"long","cheese","size","food",3,0.11,"english"
"106",4,"short","banana","size","food",4,0.04,"english"
"107",4,"new","desk","age","furniture",5,0.73,"english"
"108",4,"round","chair","shape","furniture",6,0.95,"english"
"109",4,"square","tomato","shape","food",7,0.05,"english"
"110",4,"wooden","cheese","material","food",8,0.03,"english"
"111",4,"bad","fan","quality","furniture",9,0.97,"english"
"112",4,"huge","tomato","size","food",10,0.2,"english"
"113",4,"tiny","apple","size","food",11,0.3,"english"
"114",4,"hard","fan","texture","furniture",12,0.93,"english"
"115",4,"red","banana","color","food",13,0,"english"
"116",4,"purple","fan","color","furniture",14,0.01,"english"
"117",4,"green","TV","color","furniture",15,0.02,"english"
"118",4,"old","apple","age","food",16,0.2,"english"
"119",4,"rotten","fan","age","furniture",17,0.37,"english"
"120",4,"yellow","TV","color","furniture",18,0.01,"english"
"121",4,"soft","cheese","texture","food",19,0.46,"english"
"122",4,"big","apple","size","food",20,0.67,"english"
"123",4,"smooth","tomato","texture","food",21,0.6,"english"
"124",4,"blue","apple","color","food",22,0.67,"english"
