workerid,predicate,noun,class,nounclass,slide_number,response,condition,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,blue,apple,color,food,3,0.98,subjective,English,2,Female,27,,Yes,3,Mac,900,1440,Chrome,3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3J3XIOMSTSPBFW70JXGGGYLVG7S0IH,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.30,Mon Apr 18 09:55:21 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed May 18 09:55:21 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3MB8LZR5BG6YFGCL53NWV2UMMZMLK8,0,Submitted,Tue Apr 19 02:37:42 PDT 2016,Mon Apr 18 09:55:45 PDT 2016,Mon Apr 18 09:57:42 PDT 2016,,,,,,[],1.9140833333333334
0,small,TV,size,furniture,4,0.14,subjective,English,2,Female,27,,Yes,3,Mac,900,1440,Chrome,3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3J3XIOMSTSPBFW70JXGGGYLVG7S0IH,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.30,Mon Apr 18 09:55:21 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed May 18 09:55:21 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3MB8LZR5BG6YFGCL53NWV2UMMZMLK8,0,Submitted,Tue Apr 19 02:37:42 PDT 2016,Mon Apr 18 09:55:45 PDT 2016,Mon Apr 18 09:57:42 PDT 2016,,,,,,[],1.9140833333333334
0,smooth,TV,texture,furniture,5,0.38,subjective,English,2,Female,27,,Yes,3,Mac,900,1440,Chrome,3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3J3XIOMSTSPBFW70JXGGGYLVG7S0IH,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.30,Mon Apr 18 09:55:21 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed May 18 09:55:21 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3MB8LZR5BG6YFGCL53NWV2UMMZMLK8,0,Submitted,Tue Apr 19 02:37:42 PDT 2016,Mon Apr 18 09:55:45 PDT 2016,Mon Apr 18 09:57:42 PDT 2016,,,,,,[],1.9140833333333334
0,old,TV,age,furniture,6,0.75,subjective,English,2,Female,27,,Yes,3,Mac,900,1440,Chrome,3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3J3XIOMSTSPBFW70JXGGGYLVG7S0IH,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.30,Mon Apr 18 09:55:21 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed May 18 09:55:21 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3MB8LZR5BG6YFGCL53NWV2UMMZMLK8,0,Submitted,Tue Apr 19 02:37:42 PDT 2016,Mon Apr 18 09:55:45 PDT 2016,Mon Apr 18 09:57:42 PDT 2016,,,,,,[],1.9140833333333334
0,metal,apple,material,food,7,0.65,subjective,English,2,Female,27,,Yes,3,Mac,900,1440,Chrome,3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3J3XIOMSTSPBFW70JXGGGYLVG7S0IH,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.30,Mon Apr 18 09:55:21 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed May 18 09:55:21 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3MB8LZR5BG6YFGCL53NWV2UMMZMLK8,0,Submitted,Tue Apr 19 02:37:42 PDT 2016,Mon Apr 18 09:55:45 PDT 2016,Mon Apr 18 09:57:42 PDT 2016,,,,,,[],1.9140833333333334
0,fresh,cheese,age,food,8,0.48,subjective,English,2,Female,27,,Yes,3,Mac,900,1440,Chrome,3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3J3XIOMSTSPBFW70JXGGGYLVG7S0IH,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.30,Mon Apr 18 09:55:21 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed May 18 09:55:21 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3MB8LZR5BG6YFGCL53NWV2UMMZMLK8,0,Submitted,Tue Apr 19 02:37:42 PDT 2016,Mon Apr 18 09:55:45 PDT 2016,Mon Apr 18 09:57:42 PDT 2016,,,,,,[],1.9140833333333334
0,red,TV,color,furniture,9,0.14,subjective,English,2,Female,27,,Yes,3,Mac,900,1440,Chrome,3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3J3XIOMSTSPBFW70JXGGGYLVG7S0IH,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.30,Mon Apr 18 09:55:21 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed May 18 09:55:21 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3MB8LZR5BG6YFGCL53NWV2UMMZMLK8,0,Submitted,Tue Apr 19 02:37:42 PDT 2016,Mon Apr 18 09:55:45 PDT 2016,Mon Apr 18 09:57:42 PDT 2016,,,,,,[],1.9140833333333334
0,huge,cheese,size,food,10,0.79,subjective,English,2,Female,27,,Yes,3,Mac,900,1440,Chrome,3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3J3XIOMSTSPBFW70JXGGGYLVG7S0IH,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.30,Mon Apr 18 09:55:21 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed May 18 09:55:21 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3MB8LZR5BG6YFGCL53NWV2UMMZMLK8,0,Submitted,Tue Apr 19 02:37:42 PDT 2016,Mon Apr 18 09:55:45 PDT 2016,Mon Apr 18 09:57:42 PDT 2016,,,,,,[],1.9140833333333334
0,new,TV,age,furniture,11,0.46,subjective,English,2,Female,27,,Yes,3,Mac,900,1440,Chrome,3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3J3XIOMSTSPBFW70JXGGGYLVG7S0IH,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.30,Mon Apr 18 09:55:21 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed May 18 09:55:21 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3MB8LZR5BG6YFGCL53NWV2UMMZMLK8,0,Submitted,Tue Apr 19 02:37:42 PDT 2016,Mon Apr 18 09:55:45 PDT 2016,Mon Apr 18 09:57:42 PDT 2016,,,,,,[],1.9140833333333334
0,tiny,banana,size,food,12,0.81,subjective,English,2,Female,27,,Yes,3,Mac,900,1440,Chrome,3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3J3XIOMSTSPBFW70JXGGGYLVG7S0IH,Adjectives of English,Answer questions about the interpretations of adjectives,language research stanford fun cognitive science university,$0.30,Mon Apr 18 09:55:21 PDT 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed May 18 09:55:21 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQH1UGH4XED2G7W5CR0LA9G,3MB8LZR5BG6YFGCL53NWV2UMMZMLK8,0,Submitted,Tue Apr 19 02:37:42 PDT 2016,Mon Apr 18 09:55:45 PDT 2016,Mon Apr 18 09:57:42 PDT 2016,,,,,,[],1.9140833333333334
