"","x"
"1","few"
"2","corduroy"
"3","specific"
"4","everyday"
"5","full"
"6","brazilian"
"7","financial"
"8","fast"
"9","creative"
"10","facial"
"11","blue"
"12","lengthy"
"13","short"
"14","medical"
"15","sexual"
"16","spare"
"17","little"
"18","postgraduate"
"19","personal"
"20","same"
"21","big"
"22","compensatory"
"23","overhead"
"24","moral"
"25","elitist"
"26","monthly"
"27","strict"
"28","different"
"29","favorite"
"30","hopeless"
"31","good"
"32","electrical"
"33","natural"
"34","permanent"
"35","foreign"
"36","western"
"37","military"
"38","local"
"39","nightly"
"40","encapsulated"
"41","brief"
"42","old"
"43","long"
"44","homemade"
"45","hard"
"46","fun"
"47","fat"
"48","texan"
"49","ethnic"
"50","american"
"51","simplified"
"52","crazy"
"53","prime"
"54","clean"
"55","hispanic"
"56","memorial"
"57","white"
"58","strong"
"59","waiting"
"60","argentine"
"61","chinese"
"62","sweet"
"63","mixed"
"64","wayward"
"65","bitty"
"66","inappropriate"
"67","public"
"68","religious"
"69","creamy"
"70","popular"
"71","prestigious"
"72","sweatless"
"73","political"
"74","victorian"
"75","high"
"76","social"
"77","red"
"78","skinny"
"79","tall"
"80","small"
"81","rich"
"82","human"
"83","single"
"84","lavish"
"85","oral"
"86","internal"
"87","female"
"88","ugly"
"89","east"
"90","dinky"
"91","english"
"92","hyper"
"93","large"
"94","eastern"
"95","ideal"
"96","detailed"
"97","historical"
"98","rotten"
"99","ethical"
"100","metropolitan"
"101","major"
"102","bad"
"103","real"
"104","individual"
"105","instinctual"
"106","philosophical"
"107","designated"
"108","simple"
"109","tiny"
"110","rival"
"111","painful"
"112","many"
"113","looking"
"114","south"
"115","cardiovascular"
"116","knobby"
"117","faceless"
"118","dead"
"119","salty"
"120","wet"
"121","baptist"
"122","negative"
"123","new"
"124","presidential"
"125","wide"
"126","blonde"
"127","airy"
"128","black"
"129","overcrowding"
"130","purple"
"131","spiky"
"132","circular"
"133","educational"
"134","french"
"135","urban"
"136","additional"
"137","gifted"
"138","actual"
"139","great"
"140","catholic"
"141","parochial"
"142","middle"
"143","civil"
"144","mental"
"145","liberal"
"146","practical"
"147","special"
"148","green"
"149","immediate"
"150","economic"
"151","experienced"
"152","normal"
"153","mini"
"154","electromagnetic"
"155","violent"
"156","classical"
"157","traditional"
"158","wooden"
"159","flat"
"160","mexican"
"161","italian"
"162","shiny"
"163","weekly"
"164","more"
"165","open"
"166","inexpensive"
"167","nice"
"168","portable"
"169","selfish"
"170","vietnamese"
"171","junior"
"172","happiest"
"173","elaborate"
"174","powerful"
"175","sized"
"176","whole"
"177","frying"
"178","fancy"
"179","tech"
"180","left-handed"
"181","international"
"182","national"
"183","professional"
"184","southerly"
"185","unique"
"186","gold"
"187","comfortable"
"188","agricultural"
"189","democratic"
"190","funny"
"191","canned"
"192","raspy"
"193","genuine"
"194","subtle"
"195","front"
"196","roomy"
"197","yellow"
"198","intellectual"
"199","sunny"
"200","exciting"
"201","central"
"202","narrow"
"203","electric"
"204","humongous"
"205","important"
"206","pleasant"
"207","structural"
"208","smooth"
"209","several"
"210","logical"
"211","weak"
"212","potential"
"213","positive"
"214","uneven"
"215","investigative"
"216","obvious"
"217","safe"
"218","criminal"
"219","procedural"
"220","retained"
"221","wanton"
"222","last"
"223","country"
"224","legal"
"225","oddball"
"226","total"
"227","federal"
"228","automated"
"229","japanese"
"230","sour"
"231","blunt"
"232","european"
"233","private"
"234","productive"
"235","scientific"
"236","gubernatorial"
"237","exact"
"238","entrepreneurial"
"239","random"
"240","similar"
"241","solid"
"242","other"
"243","original"
"244","excellent"
"245","wonderful"
"246","such"
"247","navy"
"248","reasonable"
"249","speedy"
"250","progressive"
"251","habitual"
"252","much"
"253","quaint"
"254","naval"
"255","standardized"
"256","current"
"257","own"
"258","minimum"
"259","fantastic"
"260","young"
"261","biggest"
"262","easy"
"263","incredible"
"264","mandatory"
"265","next"
"266","past"
"267","native"
"268","certain"
"269","daily"
"270","migrant"
"271","huge"
"272","cute"
"273","spicy"
"274","frozen"
"275","backward"
"276","varied"
"277","particular"
"278","light"
"279","early"
"280","mad"
"281","effortless"
"282","lacy"
"283","regular"
"284","dried"
"285","thick"
"286","manual"
"287","latin"
"288","previous"
"289","low"
"290","common"
"291","dirty"
"292","redeeming"
"293","civilized"
"294","first"
"295","deep"
"296","tiniest"
"297","convenient"
"298","slow"
"299","sad"
"300","strange"
"301","north"
"302","lovely"
"303","golden"
"304","humid"
"305","historic"
"306","unknown"
"307","main"
"308","curly"
"309","present"
"310","dusty"
"311","perennial"
"312","overall"
"313","enough"
"314","sophisticated"
"315","silly"
"316","poor"
"317","second"
"318","beautiful"
"319","quiet"
"320","upper"
"321","acceptable"
"322","senior"
"323","best"
"324","orchestral"
"325","old-time"
"326","unfinished"
"327","rinky"
"328","plain"
"329","gorgeous"
"330","larger"
"331","rare"
"332","intimate"
"333","gross"
"334","closest"
"335","prevailing"
"336","every"
"337","average"
"338","prettiest"
"339","extra"
"340","higher"
"341","playful"
"342","crocheted"
"343","cheerful"
"344","slight"
"345","token"
"346","ludicrous"
"347","false"
"348","interesting"
"349","domestic"
"350","true"
"351","absolute"
"352","older"
"353","warm"
"354","outlying"
"355","statistical"
"356","thin"
"357","tough"
"358","complete"
"359","long-term"
"360","useful"
