Item_ID	Sentence	SentenceLength	Adjective	FQ_Adjective	P_Adjective	Noun	FQ_Noun	P_Noun	NP	NPParse	PrevAdjective	FQ_PrevAdjective	P_PrevAdjective	PrevPrevAdjective	FQ_PrevPrevAdjective	P_PrevPrevAdjective	PrevAdj	PrevPrevAdj
5:59	well, of course, it's, you know, it's one of the last few things in the world 0 you'd ever want *-1 to do *t*-2, you know. unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.	49	few	373 	0.000310994532165839	things	1752 	0.00146075715912748	the last few things	(NP (DT the) (JJ last) (JJ few) (NNS things))	last	602 	0.000501926832074625				yes	no
5:201	well, of course, it's, you know, it's one of the last few things in the world 0 you'd ever want *-1 to do *t*-2, you know. unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.	49	own	306 	0.000255132243546238	good	2181 	0.00181844255939329	their own good	(NP (PRP$ their) (RS (-DFL- \])) (JJ own) (NN good))							no	
17:104	and, uh, we were, i was fortunate in that i was personally acquainted with the, uh, people who, uh, *t*-1 ran the nursing home in our little hometown.	28	little	1416 	0.00118061195052769	hometown	6 	5.00259301071055e-06	our little hometown	(NP (PRP$ our) (JJ little) (NN hometown))							no	
35:27	fortunately, she only had *-1 to stay a few weeks	10	few	373 	0.000310994532165839	weeks	166 	0.000138405073296325	a few weeks	(NP-TMP (DT a) (JJ few) (NNS weeks))							no	
42:58	of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.	18	smaller	42 	3.50181510749739e-05	areas	117 	9.75505637088558e-05	smaller areas	(NP (JJR smaller) (NNS areas))							no	
42:65	of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.	18	smaller	42 	3.50181510749739e-05	towns	12 	1.00051860214211e-05	smaller towns	(NP (JJR smaller) (NNS towns))							no	
52:6	probably the hardest thing in, in my family, uh, my grandmother, she had *-1 to be put *-2 in a nursing home	22	hardest	13 	1.08389515232062e-05	thing	1372 	0.00114392626844915	the hardest thing in,	(NP-ADV (DT the) (JJS hardest) (NN thing) (EDITED (RM (-DFL- \[)) (PP-UNF (IN in)) (, ,) (IP (-DFL- \+))))							no	
114:14	probably one of the biggest decisions i think that *t*-1 was very strengthening for our family was rather than * have one child make that decision than just * delegate it.	31	biggest	70 	5.83635851249564e-05	decisions	26 	2.16779030464124e-05	the biggest decisions	(NP (DT the) (JJS biggest) (NNS decisions))							no	
118:35	i think that they, they had a great deal of, um,	11	great	570 	0.000475246336017502	deal	183 	0.000152579086826672	a great deal	(NP (DT a) (JJ great) (NN deal))							no	
124:56	and, i mean, it was just, it was probably one of the most strengthening things for our family, * getting down together and doing that.	25	strengthening	2 	1.66753100357018e-06	things	1752 	0.00146075715912748	the most strengthening things	(NP (DT the) (JJS most) (JJ strengthening) (NNS things))	most	585 	0.000487752818544279				yes	no
137:118	you know, whether it was just, you know, * giving money or whether it was actually * taking part in a lot, of the decision making, you know, like *-1 finding a proper nursing home.	35	proper	8 	6.67012401428074e-06	nursing	122 	0.000101719391217781	a proper nursing home	(NP (DT a) (JJ proper) (NN nursing) (NN home))							no	
164:85	unfortunately, a lot of times it, responsibilities like that seem *-1 to fall to, you know, maybe one child in the whole family, you know.	25	whole	468 	0.000390202254835423	family	486 	0.000405210033867555	the whole family	(NP (DT the) (JJ whole) (NN family))							no	
180:30	she had her own, still had her own little house and still driving her own car, at age eighty-three.	19	little	1416 	0.00118061195052769	house	494 	0.000411880157881835	her own little house	(NP (PRP$ her) (JJ own) (RS (-DFL- \])) (JJ little) (NN house))							no	
180:50	she had her own, still had her own little house and still driving her own car, at age eighty-three.	19	own	306 	0.000255132243546238	car	437 	0.000364355524280085	her own car	(NP (PRP$ her) (JJ own) (NN car))							no	
204:8	and also her several grandchildren, came and visited her every day.	11	several	129 	0.000107555749730277	grandchildren	25 	2.08441375446273e-05	her several grandchildren	(NP-SBJ (PRP$ her) (JJ several) (NNS grandchildren))							no	
267:31	that's the, that's probably the major question.	9	major	134 	0.000111724577239202	question	125 	0.000104220687723136	the major question	(NP-PRD (DT the) (RS (-DFL- \])) (JJ major) (NN question))							no	
269:14	i think that great strides *ich*-2 are being made *-1 nowadays in, in * caring for the elderly, you know, in several, in a, in a whole lot of areas.	30	great	570 	0.000475246336017502	strides	2 	1.66753100357018e-06	great strides	(NP (JJ great) (NNS strides))							no	
